username	main	talk	user	usertalk
*edward*twilight*11*	1	0	0	0
0409nb	2	0	0	0
1 moonlight	13	0	7	1
123fakestreet	4	0	0	0
2009history	3	0	0	1
2009nyc1	6	0	0	3
23wrylyelf	1	0	0	0
2bbobby	8	0	0	0
39WJC	1	0	0	0
3DWiki	2	0	0	0
3trosso	2	0	0	0
4evamangafan	2	0	0	0
5565g	11	0	1	0
719EEB	2	0	0	0
74HM1M	4	0	1	0
77night77	9	0	4	1
7ood	4	0	0	0
7thomas	1	0	0	0
888Adolf	4	0	0	0
88tennis	1	0	0	0
8ung3st	63	0	3	0
97GJMSierra	10	0	0	0
999 Trevwv	3	0	0	2
スイス山梨県	1	0	0	0
A2800276	8	4	0	0
Aarone67	1	0	0	0
Aashcrahin	1	0	0	0
Abara456	1	0	0	0
Abarafi	1	0	0	0
Abdoukili	17	0	0	0
AberUni	1	0	0	0
Abhi9281	59	0	2	0
Abid naqvi83	1	1	0	0
Abisoffer	1	0	0	0
Abl3igail	2	3	1	1
Ablack6	2	0	0	0
ACatEatMyFavoriteWorm	1	0	0	0
Accurate data	5	0	0	7
Ace900	4	0	0	0
Acewinsekar	2	0	0	0
ACfan	10	2	0	0
Achiever10	7	0	0	0
Ackbluff	3	0	0	0
Ackyraw	1	0	0	0
Acofsvp	1	0	0	0
Acourt323	8	1	0	0
Acstam	1	0	0	0
Adam.P.Shaw	5	0	0	0
AdamNagor	2	0	0	0
Adams197	1	0	0	0
Adamthescout	7	0	1	3
Adeel003	32	0	0	0
Adellerachel	4	0	0	0
Adi adi00	5	0	0	0
ADM1N3243	2	0	0	0
Adnan x2	6	0	0	0
Adresia	107	9	0	1
Aegaly	1	0	0	0
Aesinis	2	1	2	1
Aesthetic-one	13	0	0	0
Afghanist	28	0	0	0
Agc0408	3	0	0	0
Agencymatters	5	0	0	0
AgMD	5	0	0	0
Agr70	5	0	0	0
Ahmfayaz	1	0	0	0
Ahvahsaa	1	0	0	0
Ahy2650	2	1	0	0
Ajoabbee	1	0	0	0
Ak91707	1	0	0	0
Akendzio	1	0	0	0
Akichic	60	0	0	0
AkiLeon	1	0	0	0
Akis g	4	0	1	0
Aksawant	1	0	0	0
Alainna	211	58	19	27
Alandeus	701	101	5	4
Alansplodge	304	1	5	1
Alanyates26	1	0	0	0
Alargule	9	0	0	0
Alaskamargot	4	0	0	0
Aletha McKennon	1	0	0	0
Alex Burr	5	0	0	0
Alex.K.NY	81	0	11	0
AlexanderPar	19	0	0	7
Alexandre.2.beaudry	4	1	0	1
Alexknibb	2	0	0	0
Alexmitchey	3	0	0	0
Alice Cullen loves Jasper Hale	1	0	0	0
Alk3punk	2	0	0	0
Allterego	12	0	0	0
Almejlis	2	0	0	0
Alphonsedeepak	1	0	0	0
Alsobenthejew	5	0	0	0
Alyssafaithe	6	0	0	0
Am0000	1	0	0	0
Amalnadpurohit	1	0	0	0
Amanbedi	3	0	0	0
Amanda the idiot	2	0	0	1
Amape19	4	0	0	0
Amarildobarroso	1	0	0	0
Amazanne	2	0	0	1
Amazile	35	0	0	0
Amazingbollweevil	1	0	0	0
Ambassadorkamal	3	0	0	0
Amigdal	13	0	0	0
Amirzere	15	0	0	0
Amishu5769	10	0	0	0
Amm2009	8	0	0	0
Amop3168	2	0	0	0
Amossin	2	0	0	0
Amplifygoodtime	12	0	0	0
Amsm141	13	2	0	0
AmyStrong	2	0	0	0
An805Guy	18	0	0	0
Anarchman	5	3	2	0
Anbuikid	9	0	0	0
Andrew R C Clarke	15	0	0	0
Andrewhall1956	3	0	0	0
Andrewiscoolhgfd	1	0	0	0
Andrewlibenson	2	0	0	0
AndrewOram	2	0	0	0
Andreypl	16	0	0	0
Andykid95	5	0	0	0
Andysalty	2	0	0	0
Aneblanc	1	0	0	0
Angashan	2	0	0	0
Angelmom 1st	1	0	0	0
Angelsfang	25	0	0	2
AngelsYo	8	0	2	0
Angevin1117	3	0	0	0
Angryaardvark	1	0	0	0
Anhamik	2	0	1	0
Aniabiazik	3	0	0	0
Aniket83	6	0	3	0
Animefreaktwo	4	0	0	0
Ankur1978	2	0	1	0
Ankurskullbox	1	0	0	0
Annanim	6	0	0	0
Annemarierostaing	1	0	0	0
Anonymous5743	1	0	0	0
Ant423	1	0	0	0
AntAnkh	2	0	0	0
Anti christ jesus	1	0	0	0
Antonsusi	7	0	0	0
Antonysamy	2	0	0	0
Antoshi	41	2	17	11
Antwerp-Guide	6	1	0	0
Anupbro	1	0	0	0
Anurag.rathore	12	0	0	0
Anvil101	1	0	0	0
Aoharatoyuki	3	0	0	0
Appleandjelly	7	0	0	0
Apuano	8	0	1	0
Aquila6	3	0	0	0
Arbley	4	0	0	0
Arceus94	1	0	0	0
Archie Grappa	9	0	1	0
