Project ID,Minnesota,International,Birth Year,Verbal SAT,Math SAT,Cumulative GPA,# essays in portfolios,Abroad Credits,AP Credits,CS Credits,English Credits,Science Credits,Writing Credits,Needs Work
909886,-0.519875,3.82971,0.442379,-0.42404,-1.65007,-0.190269,0.44733,-0.735487,-0.940317,-0.36503,-0.427457,-0.763172,-0.413941,1
911671,-0.519875,3.82971,-0.597199,-2.50688,-0.722083,0.562191,-0.866702,-0.735487,-0.940317,-0.36503,-0.427457,-0.763172,-0.413941,1
908563,-0.519875,3.82971,0.442379,-1.89428,-0.456943,-1.08743,-0.866702,1.02386,-0.940317,0.424779,-0.427457,-0.594067,0.297835,-1
914293,-0.519875,3.82971,-0.597199,0.433599,-0.456943,0.620072,0.44733,-0.735487,-0.426423,0.0298746,-0.667901,-0.594067,-0.413941,-1
910104,-0.519875,3.82971,0.442379,-0.42404,0.338477,0.475368,1.76136,1.90353,0.601365,3.32075,-0.427457,0.646037,-0.413941,-1
909869,-0.519875,3.82971,0.442379,-0.66908,0.603617,-0.479677,-0.866702,0.828376,-0.940317,-0.36503,-0.667901,-0.763172,-0.413941,1
913864,-0.519875,3.82971,1.48196,-2.13932,0.868757,0.649013,-0.866702,-0.735487,-0.940317,0.0298746,-0.427457,-0.763172,-0.413941,1
909804,-0.519875,3.82971,-0.597199,-1.03664,1.00133,1.633,1.76136,-0.735487,-0.940317,-0.36503,-0.0667901,1.97069,1.72139,-1
911069,-0.519875,3.82971,-0.597199,-0.179001,1.39904,0.938421,0.44733,-0.735487,-0.940317,-0.36503,-0.0667901,1.29427,0.297835,1
910704,-0.519875,-0.261117,0.442379,-1.28168,-3.90376,-0.855907,1.76136,-0.735487,-0.940317,-0.36503,-0.427457,-0.763172,-1.12572,1
891873,-0.519875,-0.261117,-0.597199,-2.38436,-2.97577,-0.97167,0.44733,-0.735487,-0.940317,-0.36503,-0.667901,-0.932277,0.297835,-1
622314,-0.519875,-0.261117,-0.597199,-1.15916,-2.18035,-2.30295,0.44733,1.02386,-0.940317,-0.36503,-0.427457,-0.932277,-1.12572,1
911629,-0.519875,-0.261117,-0.597199,-0.91412,-2.04778,-0.942729,-0.866702,2.58772,-0.940317,-0.36503,4.06084,-0.594067,1.72139,1
912969,-0.519875,-0.261117,1.48196,-1.28168,-1.78264,-2.73706,0.44733,-0.735487,-0.940317,4.37383,-0.187012,1.09698,0.297835,1
908557,-0.519875,-0.261117,-0.597199,-0.301521,-1.78264,-0.682262,0.44733,1.02386,0.0874713,-0.36503,0.293877,1.26609,-0.413941,-1
895965,-0.519875,-0.261117,-0.597199,-1.52672,-1.5175,0.562191,1.76136,-0.735487,-0.940317,-0.36503,-0.667901,-0.763172,0.297835,1
