Project ID,Minnesota,International,Birth Year,Verbal SAT,Math SAT,Cumulative GPA,# essays in portfolios,Abroad Credits,AP Credits,CS Credits,English Credits,Science Credits,Writing Credits,Needs Work
909886,0,1,1984,640,550,3.32,4,0,0,0,6,6,12,1
911671,0,1,1983,470,620,3.58,3,0,0,0,6,6,12,1
908563,0,1,1984,520,640,3.01,3,18,0,12,6,12,18,-1
914293,0,1,1983,710,640,3.6,4,0,6,6,0,12,12,-1
910104,0,1,1984,640,700,3.55,5,27,18,56,6,56,12,-1
909869,0,1,1984,620,720,3.22,3,16,0,0,0,6,12,1
913864,0,1,1985,500,740,3.61,3,0,0,6,6,6,12,1
909804,0,1,1983,590,750,3.95,5,0,0,0,15,103,30,-1
911069,0,1,1983,660,780,3.71,4,0,0,0,15,79,18,1
910704,0,0,1984,570,380,3.09,5,0,0,0,6,6,6,1
891873,0,0,1983,480,450,3.05,4,0,0,0,0,0,18,-1
622314,0,0,1983,580,510,2.59,4,18,0,0,6,0,6,1
911629,0,0,1983,600,520,3.06,3,34,0,0,118,12,30,1
912969,0,0,1985,570,540,2.44,4,0,0,72,12,72,18,1
908557,0,0,1983,650,540,3.15,4,18,12,0,24,78,12,-1
895965,0,0,1983,550,560,3.58,5,0,0,0,0,6,18,1
901897,0,0,1982,600,560,3.01,4,18,0,0,0,81,6,1
902002,0,0,1983,510,560,3.58,4,0,0,0,6,56,12,-1
909728,0,0,1984,570,560,3.57,3,0,0,0,6,94,12,-1
463555,0,0,1983,600,570,2.98,3,0,0,0,26,0,18,1
910685,0,0,1984,640,570,3,3,22,0,0,82,18,36,1
912661,0,0,1984,700,570,3.26,3,25,24,0,87,12,30,1
907879,0,0,1983,660,570,3.63,4,0,0,6,12,18,12,-1
914141,0,0,1985,720,580,3.74,4,0,18,0,24,28,30,-1
914560,0,0,1984,560,580,2.6,3,0,0,0,6,6,12,1
915161,0,0,1985,630,600,3.11,3,0,0,0,12,6,18,1
558725,0,0,1983,770,600,3.79,5,18,18,0,99,12,24,-1
461225,0,0,1983,740,610,3.25,4,18,0,0,36,12,18,-1
909720,0,0,1984,640,610,3.62,4,18,12,0,0,0,12,1
915189,0,0,1985,590,610,2.44,4,0,0,0,12,6,18,1
741341,0,0,1982,570,610,3.61,3,16,12,6,12,12,12,-1
910741,0,0,1984,510,630,2.86,3,10,0,6,18,12,24,1
909681,0,0,1983,620,630,3.05,3,0,6,0,12,6,18,-1
679470,0,0,1983,700,640,3.76,4,0,18,0,6,94,12,-1
909763,0,0,1983,660,640,2.82,5,0,0,0,48,12,36,1
909763,0,0,1983,660,640,2.82,5,0,0,0,48,12,36,1
914928,0,0,1985,700,650,3.45,4,12,12,6,12,26,18,-1
685273,0,0,1983,780,650,3.39,4,16,12,0,6,79,18,1
912798,0,0,1985,800,650,3.45,4,0,12,6,6,30,12,-1
908359,0,0,1983,700,660,3.81,5,16,18,0,136,12,18,-1
450130,0,0,1983,650,660,3.32,5,16,0,0,12,0,12,1
486816,0,0,1982,760,660,3.05,3,0,6,0,0,98,6,-1
567295,0,0,1982,800,660,3.23,3,0,12,0,0,6,6,-1
895808,0,0,1983,650,660,3.65,3,0,24,0,0,36,12,-1
912878,0,0,1985,660,660,3.81,4,16,0,0,12,130,12,-1
570001,0,0,1983,800,670,3.55,4,16,18,6,97,6,42,-1
908041,0,0,1984,790,670,3.66,4,18,12,0,12,6,30,-1
909737,0,0,1984,750,670,3.53,4,0,6,12,6,12,6,-1
914360,0,0,1984,690,670,3.65,4,16,6,0,6,6,12,-1
915561,0,0,1985,690,670,3.75,4,16,0,6,18,6,18,-1
894888,0,0,1982,770,670,3.42,3,0,0,0,18,12,24,1
909680,0,0,1983,670,670,2.98,3,0,12,6,12,36,30,1
909863,0,0,1984,670,670,2.69,4,0,0,6,12,12,18,1
912994,0,0,1985,630,670,2.92,3,0,12,0,12,6,12,1
908572,0,0,1984,710,670,3.43,4,18,24,0,6,6,0,-1
910643,0,0,1984,700,670,3.75,5,0,12,0,0,42,6,-1
911403,0,0,1984,760,680,3.61,4,36,18,0,42,12,18,-1
688467,0,0,1983,670,680,3.01,4,0,12,0,6,12,30,1
842206,0,0,1983,650,680,3.16,3,0,12,6,12,12,6,1
911536,0,0,1984,630,680,3.17,4,12,6,0,12,63,12,1
